file,atom,Count
linux/drivers/gpu/drm/radeon/si.c,omitted-curly-braces,259
linux/drivers/hwtracing/coresight/coresight-etm4x-sysfs.c,operator-precedence,259
linux/drivers/staging/lustre/lnet/klnds/o2iblnd/o2iblnd.c,operator-precedence,258
linux/drivers/staging/lustre/lnet/klnds/o2iblnd/o2iblnd_cb.c,operator-precedence,258
linux/drivers/isdn/hardware/mISDN/hfcmulti.c,operator-precedence,258
linux/drivers/staging/rtlwifi/halmac/halmac_88xx/halmac_api_88xx.c,omitted-curly-braces,258
linux/drivers/net/ethernet/sfc/ef10.c,omitted-curly-braces,257
linux/drivers/infiniband/hw/mlx5/qp.c,omitted-curly-braces,257
linux/drivers/target/target_core_pr.c,operator-precedence,256
mysql-server/sql/sql_executor.cc,omitted-curly-braces,256
linux/drivers/md/bcache/super.c,operator-precedence,255
linux/drivers/char/pcmcia/synclink_cs.c,omitted-curly-braces,255
linux/drivers/gpu/drm/nouveau/nv50_display.c,implicit-predicate,255
linux/drivers/scsi/lpfc/lpfc_bsg.c,operator-precedence,255
linux/drivers/net/usb/r8152.c,operator-precedence,255
linux/drivers/net/wireless/ath/ath10k/wmi.c,omitted-curly-braces,254
linux/drivers/net/ethernet/qlogic/qlcnic/qlcnic_main.c,omitted-curly-braces,254
linux/drivers/gpu/drm/nouveau/nv50_display.c,operator-precedence,253
linux/drivers/s390/block/dasd.c,operator-precedence,253
linux/drivers/clk/meson/gxbb.c,operator-precedence,252
linux/drivers/gpu/drm/drm_edid.c,omitted-curly-braces,251
linux/drivers/scsi/qla2xxx/qla_os.c,omitted-curly-braces,250
linux/drivers/scsi/scsi_transport_iscsi.c,omitted-curly-braces,250
linux/drivers/scsi/st.c,omitted-curly-braces,250
linux/drivers/block/DAC960.c,omitted-curly-braces,249
linux/drivers/staging/lustre/lnet/klnds/socklnd/socklnd_cb.c,operator-precedence,249
mysql-server/client/mysqltest.cc,operator-precedence,248
linux/drivers/usb/core/hub.c,omitted-curly-braces,248
linux/drivers/gpu/drm/i915/i915_irq.c,omitted-curly-braces,247
linux/drivers/infiniband/hw/bnxt_re/ib_verbs.c,operator-precedence,247
emacs/src/lread.c,omitted-curly-braces,246
linux/drivers/net/ethernet/freescale/gianfar.c,operator-precedence,246
linux/drivers/staging/lustre/lnet/selftest/framework.c,operator-precedence,246
mysql-server/sql/sql_parse.cc,omitted-curly-braces,246
linux/drivers/infiniband/core/cma.c,omitted-curly-braces,245
linux/drivers/scsi/osst.c,omitted-curly-braces,245
linux/drivers/scsi/mpt3sas/mpt3sas_base.c,operator-precedence,245
linux/drivers/scsi/scsi_debug.c,omitted-curly-braces,245
linux/drivers/hwmon/lm93.c,operator-precedence,243
linux/drivers/gpu/drm/i915/i915_debugfs.c,operator-precedence,243
linux/drivers/scsi/megaraid/megaraid_sas_fusion.c,operator-precedence,243
linux/drivers/gpu/drm/i915/intel_pm.c,operator-precedence,242
linux/drivers/video/fbdev/core/fbcon.c,omitted-curly-braces,242
linux/drivers/net/wireless/intel/iwlegacy/4965-mac.c,omitted-curly-braces,242
linux/drivers/net/wireless/intel/iwlegacy/3945-mac.c,operator-precedence,242
linux/drivers/isdn/hisax/l3ni1.c,operator-precedence,242
linux/drivers/spi/spi.c,operator-precedence,241
linux/drivers/scsi/isci/host.c,operator-precedence,241
mysql-server/sql/sql_partition.cc,omitted-curly-braces,241
linux/drivers/net/wireless/realtek/rtl8xxxu/rtl8xxxu_core.c,omitted-curly-braces,240
linux/drivers/infiniband/hw/bnxt_re/qplib_fp.c,operator-precedence,239
linux/drivers/media/pci/ddbridge/ddbridge-core.c,omitted-curly-braces,239
linux/drivers/net/ethernet/mellanox/mlxsw/spectrum_router.c,operator-precedence,239
linux/drivers/net/ethernet/neterion/vxge/vxge-ethtool.c,operator-precedence,238
linux/drivers/infiniband/hw/mlx4/qp.c,operator-precedence,238
linux/drivers/atm/idt77252.c,operator-precedence,238
linux/drivers/gpu/drm/radeon/atombios_encoders.c,omitted-curly-braces,238
linux/drivers/net/ethernet/marvell/sky2.c,omitted-curly-braces,238
linux/drivers/net/wireless/intel/iwlwifi/mvm/mac80211.c,operator-precedence,237
linux/drivers/net/ethernet/ibm/ibmvnic.c,operator-precedence,237
linux/drivers/scsi/ibmvscsi/ibmvfc.c,operator-precedence,236
linux/drivers/net/ethernet/neterion/vxge/vxge-ethtool.c,post-increment,236
linux/drivers/usb/gadget/udc/snps_udc_core.c,operator-precedence,236
linux/drivers/tty/vt/vt.c,omitted-curly-braces,235
linux/drivers/media/tuners/tuner-types.c,type-conversion,235
linux/drivers/md/dm-thin.c,operator-precedence,234
linux/drivers/block/drbd/drbd_nl.c,operator-precedence,234
linux/drivers/net/ethernet/intel/e1000/e1000_hw.c,omitted-curly-braces,233
linux/drivers/staging/lustre/lustre/osc/osc_cache.c,operator-precedence,233
linux/drivers/scsi/qla2xxx/qla_isr.c,operator-precedence,233
linux/drivers/scsi/smartpqi/smartpqi_init.c,omitted-curly-braces,232
linux/drivers/video/fbdev/amifb.c,operator-precedence,232
emacs/src/w32fns.c,omitted-curly-braces,232
linux/drivers/gpu/drm/amd/powerplay/hwmgr/smu7_hwmgr.c,omitted-curly-braces,232
linux/drivers/hwmon/adm1026.c,operator-precedence,231
linux/drivers/scsi/aic7xxx/aic7xxx_core.c,omitted-curly-braces,231
linux/drivers/staging/fwserial/fwserial.c,operator-precedence,231
linux/drivers/net/wireless/intersil/hostap/hostap_ap.c,operator-precedence,231
linux/drivers/message/fusion/mptsas.c,omitted-curly-braces,231
linux/drivers/usb/host/fotg210-hcd.c,omitted-curly-braces,231
linux/drivers/usb/dwc2/hcd.c,omitted-curly-braces,230
linux/drivers/acpi/nfit/core.c,operator-precedence,230
linux/drivers/hwmon/it87.c,operator-precedence,230
linux/drivers/infiniband/hw/mlx4/qp.c,omitted-curly-braces,229
linux/drivers/scsi/fnic/fnic_scsi.c,operator-precedence,229
linux/drivers/staging/rtl8723bs/core/rtw_xmit.c,operator-precedence,228
linux/drivers/scsi/qla2xxx/qla_sup.c,operator-precedence,227
linux/drivers/net/ethernet/cavium/liquidio/lio_main.c,operator-precedence,226
linux/drivers/net/ethernet/intel/e1000/e1000_main.c,omitted-curly-braces,226
linux/drivers/scsi/qla2xxx/qla_target.c,omitted-curly-braces,226
linux/drivers/net/ethernet/chelsio/cxgb4/cxgb4_main.c,omitted-curly-braces,226
linux/drivers/staging/emxx_udc/emxx_udc.c,operator-precedence,225
linux/drivers/infiniband/ulp/ipoib/ipoib_main.c,operator-precedence,225
linux/drivers/net/ethernet/qlogic/qlcnic/qlcnic_83xx_hw.c,omitted-curly-braces,225
linux/drivers/block/drbd/drbd_receiver.c,omitted-curly-braces,225
linux/drivers/md/dm-mpath.c,operator-precedence,224
linux/drivers/net/dsa/mv88e6xxx/chip.c,omitted-curly-braces,224
linux/drivers/iommu/intel-iommu.c,omitted-curly-braces,224
linux/drivers/media/i2c/smiapp/smiapp-core.c,operator-precedence,224
linux/drivers/usb/gadget/udc/mv_udc_core.c,operator-precedence,224
linux/drivers/net/ethernet/nvidia/forcedeth.c,operator-precedence,223
linux/drivers/scsi/be2iscsi/be_main.c,operator-precedence,223
linux/drivers/message/fusion/mptsas.c,operator-precedence,223
linux/drivers/gpu/drm/radeon/ni_dpm.c,omitted-curly-braces,221
linux/drivers/infiniband/hw/qib/qib_iba7322.c,operator-precedence,221
linux/drivers/clk/qcom/gcc-msm8960.c,operator-precedence,221
linux/drivers/target/iscsi/iscsi_target_util.c,operator-precedence,221
linux/drivers/scsi/megaraid/megaraid_sas_base.c,omitted-curly-braces,221
emacs/src/coding.c,operator-precedence,221
linux/drivers/infiniband/hw/mlx4/main.c,omitted-curly-braces,220
linux/drivers/mmc/host/sdhci.c,omitted-curly-braces,220
linux/drivers/staging/media/atomisp/pci/atomisp2/css2400/sh_css.c,operator-precedence,220
linux/drivers/regulator/core.c,omitted-curly-braces,219
linux/drivers/clk/sunxi-ng/ccu-sun50i-a64.c,operator-precedence,217
linux/drivers/isdn/hardware/mISDN/hfcmulti.c,omitted-curly-braces,217
linux/drivers/net/wireless/realtek/rtlwifi/rtl8821ae/phy.c,omitted-curly-braces,217
linux/drivers/net/ethernet/mellanox/mlx5/core/en_main.c,omitted-curly-braces,216
linux/drivers/net/ethernet/oki-semi/pch_gbe/pch_gbe_main.c,operator-precedence,216
linux/drivers/net/wireless/ath/ath9k/hw.c,omitted-curly-braces,216
linux/drivers/net/ethernet/ibm/emac/core.c,omitted-curly-braces,216
linux/drivers/net/ethernet/intel/i40e/i40e_virtchnl_pf.c,operator-precedence,216
linux/drivers/net/ethernet/chelsio/cxgb3/t3_hw.c,omitted-curly-braces,215
mysql-server/sql/table.cc,operator-precedence,215
linux/drivers/net/wireless/realtek/rtl8xxxu/rtl8xxxu_core.c,operator-precedence,214
linux/drivers/gpu/drm/amd/amdgpu/amdgpu_vm.c,operator-precedence,214
linux/drivers/message/fusion/mptbase.c,omitted-curly-braces,214
linux/drivers/ata/libata-eh.c,omitted-curly-braces,214
mysql-server/sql/sql_optimizer.cc,operator-precedence,214
linux/drivers/media/platform/exynos4-is/fimc-capture.c,operator-precedence,214
linux/drivers/net/ethernet/hisilicon/hns/hns_dsaf_main.c,operator-precedence,214
linux/drivers/net/vxlan.c,omitted-curly-braces,214
linux/drivers/net/ethernet/intel/ixgbe/ixgbe_ethtool.c,omitted-curly-braces,213
linux/drivers/net/ethernet/broadcom/bnx2.c,operator-precedence,213
linux/drivers/net/ethernet/qlogic/qlcnic/qlcnic_83xx_hw.c,operator-precedence,213
mysql-server/sql/handler.cc,omitted-curly-braces,212
linux/drivers/acpi/nfit/core.c,omitted-curly-braces,212
emacs/src/regex.c,omitted-curly-braces,211
